DateID;Year;Month;WeekDay;Date
44338;2021;May;Sat;05/22/2021
44218;2021;Jan;Fri;01/22/2021
43916;2020;Mar;Thu;03/26/2020
44392;2021;Jul;Thu;07/15/2021
43953;2020;May;Sat;05/02/2020
43864;2020;Feb;Mon;02/03/2020
44294;2021;Apr;Thu;04/08/2021
43901;2020;Mar;Wed;03/11/2020
44347;2021;May;Mon;05/31/2021
44314;2021;Apr;Wed;04/28/2021
44063;2020;Aug;Thu;08/20/2020
43922;2020;Apr;Wed;04/01/2020
44250;2021;Feb;Tue;02/23/2021
44024;2020;Jul;Sun;07/12/2020
44007;2020;Jun;Thu;06/25/2020
44278;2021;Mar;Tue;03/23/2021
44101;2020;Sep;Sun;09/27/2020
43968;2020;May;Sun;05/17/2020
44141;2020;Nov;Fri;11/06/2020
44335;2021;May;Wed;05/19/2021
44398;2021;Jul;Wed;07/21/2021
44368;2021;Jun;Mon;06/21/2021
44336;2021;May;Thu;05/20/2021
44090;2020;Sep;Wed;09/16/2020
44284;2021;Mar;Mon;03/29/2021
44155;2020;Nov;Fri;11/20/2020
43926;2020;Apr;Sun;04/05/2020
44226;2021;Jan;Sat;01/30/2021
44110;2020;Oct;Tue;10/06/2020
44133;2020;Oct;Thu;10/29/2020
43981;2020;May;Sat;05/30/2020
43933;2020;Apr;Sun;04/12/2020
44299;2021;Apr;Tue;04/13/2021
43952;2020;May;Fri;05/01/2020
44144;2020;Nov;Mon;11/09/2020
44349;2021;Jun;Wed;06/02/2021
43888;2020;Feb;Thu;02/27/2020
44128;2020;Oct;Sat;10/24/2020
44125;2020;Oct;Wed;10/21/2020
44313;2021;Apr;Tue;04/27/2021
43914;2020;Mar;Tue;03/24/2020
43841;2020;Jan;Sat;01/11/2020
44222;2021;Jan;Tue;01/26/2021
44242;2021;Feb;Mon;02/15/2021
44035;2020;Jul;Thu;07/23/2020
44286;2021;Mar;Wed;03/31/2021
44131;2020;Oct;Tue;10/27/2020
44138;2020;Nov;Tue;11/03/2020
43886;2020;Feb;Tue;02/25/2020
44162;2020;Nov;Fri;11/27/2020
44038;2020;Jul;Sun;07/26/2020
44126;2020;Oct;Thu;10/22/2020
43986;2020;Jun;Thu;06/04/2020
44327;2021;May;Tue;05/11/2021
44303;2021;Apr;Sat;04/17/2021
43906;2020;Mar;Mon;03/16/2020
43893;2020;Mar;Tue;03/03/2020
43961;2020;May;Sun;05/10/2020
43876;2020;Feb;Sat;02/15/2020
43846;2020;Jan;Thu;01/16/2020
44320;2021;May;Tue;05/04/2021
44160;2020;Nov;Wed;11/25/2020
44145;2020;Nov;Tue;11/10/2020
44012;2020;Jun;Tue;06/30/2020
44339;2021;May;Sun;05/23/2021
43891;2020;Mar;Sun;03/01/2020
44180;2020;Dez;Tue;12/15/2020
43937;2020;Apr;Thu;04/16/2020
44036;2020;Jul;Fri;07/24/2020
43853;2020;Jan;Thu;01/23/2020
43938;2020;Apr;Fri;04/17/2020
44356;2021;Jun;Wed;06/09/2021
44258;2021;Mar;Wed;03/03/2021
44098;2020;Sep;Thu;09/24/2020
44221;2021;Jan;Mon;01/25/2021
44071;2020;Aug;Fri;08/28/2020
44408;2021;Jul;Sat;07/31/2021
44023;2020;Jul;Sat;07/11/2020
43930;2020;Apr;Thu;04/09/2020
44165;2020;Nov;Mon;11/30/2020
44265;2021;Mar;Wed;03/10/2021
44194;2020;Dez;Tue;12/29/2020
44078;2020;Sep;Fri;09/04/2020
44032;2020;Jul;Mon;07/20/2020
43863;2020;Feb;Sun;02/02/2020
44396;2021;Jul;Mon;07/19/2021
44069;2020;Aug;Wed;08/26/2020
43954;2020;May;Sun;05/03/2020
44239;2021;Feb;Fri;02/12/2021
44073;2020;Aug;Sun;08/30/2020
44334;2021;May;Tue;05/18/2021
44366;2021;Jun;Sat;06/19/2021
44229;2021;Feb;Tue;02/02/2021
44304;2021;Apr;Sun;04/18/2021
44086;2020;Sep;Sat;09/12/2020
44039;2020;Jul;Mon;07/27/2020
44283;2021;Mar;Sun;03/28/2021
44132;2020;Oct;Wed;10/28/2020
44044;2020;Aug;Sat;08/01/2020
43918;2020;Mar;Sat;03/28/2020
44406;2021;Jul;Thu;07/29/2021
44386;2021;Jul;Fri;07/09/2021
43955;2020;May;Mon;05/04/2020
44061;2020;Aug;Tue;08/18/2020
43908;2020;Mar;Wed;03/18/2020
44193;2020;Dez;Mon;12/28/2020
44351;2021;Jun;Fri;06/04/2021
44184;2020;Dez;Sat;12/19/2020
44181;2020;Dez;Wed;12/16/2020
43848;2020;Jan;Sat;01/18/2020
44200;2021;Jan;Mon;01/04/2021
44066;2020;Aug;Sun;08/23/2020
44253;2021;Feb;Fri;02/26/2021
